"line","speaker","text"
78,"B","so as good a deal as it might be it takes a lot of the hassle out of the business and all that kind of thing the major part of it is that Amazon end up with your customers"
79,"A","mm"
80,"B","so that that isn't a great idea you know"
81,"A","no"
82,"B","now there might be another situation where you as a <pause> as a company are selling your products via Amazon yeah"
83,"A","mm mm <pause> yeah"
84,"B","and then Amazon pitches to you well <pause> there was a discussion behind that that kind of point of view as well and you could apply that first kind of reason"
85,"A","mm"
86,"B","with your customers but in fact they're not your customers they are Amazon's customers who happen to buy your products that you're providing through Amazon's platform store"
87,"A","yeah"
88,"B","so <pause> that in itself could be seen as a as a benefit unless you were the type of business person who would actively try to chase Amazon's customers having bought your products because once they've bought them you have got some of the details"
89,"A","mm"
90,"B","and that you would then <pause> based on you know you have bought my product here are some other products that you might like and that kind of stuff yeah"
91,"A","yeah"
92,"B","now if they're Amazon's customers Amazon has that data you will only have that if you have got to ship stuff to them if you don't ship stuff to them then how do you get hold of that data?"
93,"A","mm I see <pause> what do you think of the curry?"
94,"B","yeah it is good <pause> reliably spicy"
95,"A","mm <pause> so you who are you expecting tonight then?"
96,"B","well tonight we are having a chat about that <place> event"
97,"A","oh yeah"
98,"B","erm <pause> just to try and set an agenda for it"
99,"A","yep"
100,"B","for for for the weekend"
101,"A","mm mm so who do you think will be hanging out?"
102,"B","well there's a couple of people who have been involved in setting it up so they're there"
103,"A","mm mm"
104,"B","I haven't really checked out who else has kind of put their hand up to say they would be going along"
105,"A","oh right"
106,"B","like going along to this hang out tonight"
107,"A","oh right okay but there's more"
108,"B","yeah and then there's erm over twenty people who have <unclear/>"
109,"A","and how long do you think you will go for?"
110,"B","well I've I had a look at kind of return flights and Sunday Monday are very expensive so I was thinking about popping back on Tuesday"
111,"A","mm mm"
112,"B","but erm I got in touch with <name> and he's just got some skinny flat so he doesn't have any room"
113,"A","oh"
114,"B","for me to stay so I am going to share a place with some of the people for the Thursday Friday and Saturday <pause> and then I have got to find somewhere to stay for Sunday and Monday"
115,"A","oh god"
116,"B","I'm kind of surprised there's only like one person based in <place>"
117,"A","yeah"
118,"B","and he's in this group and then well there's one person in the group that's placed in <place> and then there's this other guy and <name> of course erm <pause> if we put it out on the wire who would be based there?"
119,"A","mm <pause> so be it"
120,"B","yes <pause> so how do you"
