"line","speaker","text"
"81","B","no but if you wanted to take photographs of <trunc>li</trunc> of wildlife then you could do it that's <unclear/></u>"
"82","A","yeah</u>"
"0","B","so what do you fancy doing after I've showed you the the giro thing?</u>"
"84","A","erm</u>"
"0","B","do you wanna walk back? or get a train? if we get a train we could go well doesn't matter what I was gonna say is we could go past Aldi but we don't need to go to Aldi cos we went shopping on Saturday</u>"
"86","A","we don't have any onions</u>"
"87","B","well if we walk back we could pick up some onions</u>"
"86","A","if we take the train we can go to Aldi and get some onions <pause dur=""short""/> if you wanna walk I'm happy walking no big digs</u>"
"89","B","yeah <unclear/> we can do that</u>"
"0","A","mm okay so you'll show me whatever this particular special thing is?</u>"
"91","B","yeah</u>"
"0","A","okay <pause dur=""long""/> cheers thank you <pause dur=""long""/> so today we're at the EMCA</u>"
"93","B","yep</u>"
"0","A","and <anon type=""name"" nameType=""f""/>'s going to show me around</u>"
"0","B","ah sorry <unclear/></u>"
"96","A","is that what is that?</u>"
"97","B","oh maybe it's level two sorry it's level two</u>"
"98","A","so we're just going down the stairs again to level two and hopefully we'll find what we're looking for there</u>"
"99","B","yes right <pause dur=""long""/></u>"
"0","A","okay I came to look at this a while back with <anon type=""name"" nameType=""f""/></u>"
"101","B","yeah?</u>"
"0","A","this stuff in here yeah <pause dur=""long""/> it's <anon type=""name"" nameType=""m""/>'s <pause dur=""long""/> what <trunc>i</trunc> what is it?</u>"
"103","B","it's a piece of string it's a piece of string that's all it is</u>"
"104","A","that and that's just going in a wave</u>"
"105","B","yeah</u>"
"104","A","it's not actually spinning round oh it is spinning round as well it's sort of going in a helical wave and then there</u>"
"107","B","it's just a white light</u>"
"104","A","so then <unclear/> it is too so oh that's interesting so then <unclear/> is what creates an impression of the different colours</u>"
"109","B","mm</u>"
"104","A","or something like that</u>"
"105+107+109+111","B","but look inside you can also see like the projection of the string you can see you know</u>"
"112","A","yeah yeah it's like a shadow</u>"
"113","B","yeah</u>"
"112","A","and it travels yeah</u>"
"115","B","<unclear/> sound you can see more than one <unclear/> you see like the string in the middle and then you see like the <unclear/> and you see the string right in the middle then there's the shadow behind it</u>"
"116","A","mm</u>"
"115","B","so you can see kind of like two or three lines well two lines</u>"
"0","A","<vocal desc=""cough""/></u>"
"0","B","pretty nifty isn't it?</u>"
"120","A","well that's quite cool</u>"
"121","B","well that's just a normal fan</u>"
"122","A","yeah that's just a modified fan</u>"
"123","D","a fan that was <unclear/></u>"
"122","A","attached a piece of string on it and projected some light in it light in a box</u>"
"125","B","yeah</u>"
"0","A","wow</u>"
