"line","speaker","text"
64,"A","right is it per person or just per hour?"
65,"B","erm <pause> per person per hour if it's gonna be three of us cleaning there it won't be fifteen split by three it will be fifteen per person per hour"
66,"A","right"
67,"B","so it's everyone taking time out of their <pause> lives to do the cleaning"
68,"B","anyway so he'll <pause> wait for me to finish work at two and then"
69,"A","yeah okay"
70,"B","we'll go together and then just do it through the afternoon"
71,"A","<vocal desc=""cough""/> okay <pause> so I'll write Saturday off then for that thing <pause> cos it's gonna take us a while to do that house ain't it?"
72,"B","I think so"
73,"A","so"
74,"B","well I've I'm gonna be gone from ten till two anyway so"
75,"A","yeah we'll write it off then we'll probably go we'll go on a different day"
76,"B","well today is Thursday isn't it?"
77,"A","uhu"
78,"B","we can go tomorrow"
79,"A","yeah we can"
80,"B","tomorrow's Friday"
81,"B","tomorrow's gonna be cloudy it'll be better to do the gardening that my dad wants done tomorrow"
82,"A","yeah"
83,"B","and we can always do <unclear>aqua branching</unclear> next week some time"
84,"A","okay well I'll leave next week on Wednesday"
85,"B","okay"
86,"A","what date is it today? like <pause> does anyone know the date? er"
87,"B","the fourth I think"
88,"A","I'll leave on the tenth <pause> so <pause> but I don't leave until like late afternoon"
89,"B","are you wearing a bra?"
90,"A","no"
91,"B","shit <pause> <vocal desc=""laugh""/> that cleavage though"
92,"A","<vocal desc=""laugh""/> let me just have a look what time I'm flying <pause> fifteen thirty-five I'm flying <pause> and I'll need to be there an hour before because I've got erm hand luggage that's it flight sixteen forty er get there at sixteen forty"
93,"B","that's easy enough"
94,"A","but erm <pause> well if it is cloudy this afternoon when we get back cos it says it's gonna be cloudy from three <pause> it's gonna be a bit of sun and a bit of cloud if it is really cloudy do you just want to do the gardening this afternoon?"
95,"B","yeah"
96,"A","and then tomorrow we can do that aqua thingy"
97,"B","yeah"
98,"A","or whatever it is"
99,"B","er <foreign lang=""fre""/> be training <pause> tomorrow afternoon"
100,"A","mm"
101,"B","so"
102,"A","we've got a bit of morning"
103,"B","I was just saying like if he's up for it"
104,"A","mm"
105,"B","if it's not gonna make him too tired or anything we can <pause> we'll figure something out"
106,"B","too dry"
107,"A","have you moisturising?"
108,"B","yeah I've just moisturised all of my legs loads and look they're still really scaly"
109,"A","you're not scaly at all <pause> it's soft <pause> you should try and do it every day though it keeps your skin looking young"
110,"B","mm"
111,"A","I'm gonna se I'm gonna send my phone back on when I get back I'm just gonna <pause> say to them look I didn't take it on holiday with me so it's been sat <pause> there's something wrong with the speaker the home button isn't like right and there's no way that I could have done that <pause> so I'm just gonna say look I want it replacing because the battery isn't working the home button's wonky it's not even on straight and like the speakers aren't working"
112,"B","mm"
113,"A","and I haven't done that <pause> gonna just say I haven't used it at all"
114,"B","yeah do that"
115,"A","and I'll wipe the phone so it looks like I haven't used it <pause> and I'm just gonna fight it out and say look I've had this phone about for a week"
116,"B","cos it's"
117,"A","and then I went on holiday"
118,"B","it's true as soon as you got it the battery wasn't working so that's not"
119,"A","well I rang them straight away so they can't even say that it <pause> they"
120,"B","exactly"
121,"A","they can't say anything <pause> and say look I didn't take I didn't end up taking it on holiday with me I've left it at home so it's been sat in a box at home the whole time <pause> I've not even touched it <pause> I'll just say it must have been damaged in transit"
122,"B","yeah it'll work <vocal desc=""laugh""/> <pause>"
123,"A","cos I'm not paying fucking a hundred pounds for them to fix my speaker <pause> or the battery <pause> it's just such a rip-off cos it's Apple <pause> it's such a rip off"
124,"B","mm"
125,"A","it pisses me off so much <pause>"
126,"B","right <pause> I'm gonna go <pause> get my shit together"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
